label,cond1,cond2,cond3,cond4,item,sentence,comprehension_question,answerchoice0,answerchoice1,correct_response
Subjexp-ActS-PassQ-AnsL.1,Subjexp,ActS,PassQ,AnsL,1,That's the actor that the director particularly appreciates because of his dramatic emotional bearing.,Who is appreciated?,the actor,the director,0
Objexp-ActS-PassQ-AnsL.1,Objexp,ActS,PassQ,AnsL,1,That's the actor that the director particularly bothers because of his dramatic emotional bearing.,Who is bothered?,the actor,the director,0
Subjexp-ActS-ActQ-AnsL.1,Subjexp,ActS,ActQ,AnsL,1,That's the actor that the director particularly appreciates because of his dramatic emotional bearing.,Who appreciates someone?,the director,the actor,0
Objexp-ActS-ActQ-AnsL.1,Objexp,ActS,ActQ,AnsL,1,That's the actor that the director particularly bothers because of his dramatic emotional bearing.,Who bothers someone?,the director,the actor,0
Subjexp-PassS-PassQ-AnsL.1,Subjexp,PassS,PassQ,AnsL,1,That's the director that the actor is particularly appreciated by because of his dramatic emotional bearing.,Who is appreciated?,the actor,the director,0
Objexp-PassS-PassQ-AnsL.1,Objexp,PassS,PassQ,AnsL,1,That's the director that the actor is particularly bothered by because of his dramatic emotional bearing.,Who is bothered?,the actor,the director,0
Subjexp-PassS-ActQ-AnsL.1,Subjexp,PassS,ActQ,AnsL,1,That's the director that the actor is particularly appreciated by because of his dramatic emotional bearing.,Who appreciates someone?,the director,the actor,0
Objexp-PassS-ActQ-AnsL.1,Objexp,PassS,ActQ,AnsL,1,That's the director that the actor is particularly bothered by because of his dramatic emotional bearing.,Who bothers someone?,the director,the actor,0
Subjexp-ActS-PassQ-AnsR.1,Subjexp,ActS,PassQ,AnsR,1,That's the actor that the director particularly appreciates because of his dramatic emotional bearing.,Who is appreciated?,the director,the actor,1
Objexp-ActS-PassQ-AnsR.1,Objexp,ActS,PassQ,AnsR,1,That's the actor that the director particularly bothers because of his dramatic emotional bearing.,Who is bothered?,the director,the actor,1
Subjexp-ActS-ActQ-AnsR.1,Subjexp,ActS,ActQ,AnsR,1,That's the actor that the director particularly appreciates because of his dramatic emotional bearing.,Who appreciates someone?,the actor,the director,1
Objexp-ActS-ActQ-AnsR.1,Objexp,ActS,ActQ,AnsR,1,That's the actor that the director particularly bothers because of his dramatic emotional bearing.,Who bothers someone?,the actor,the director,1
Subjexp-PassS-PassQ-AnsR.1,Subjexp,PassS,PassQ,AnsR,1,That's the director that the actor is particularly appreciated by because of his dramatic emotional bearing.,Who is appreciated?,the director,the actor,1
Objexp-PassS-PassQ-AnsR.1,Objexp,PassS,PassQ,AnsR,1,That's the director that the actor is particularly bothered by because of his dramatic emotional bearing.,Who is bothered?,the director,the actor,1
Subjexp-PassS-ActQ-AnsR.1,Subjexp,PassS,ActQ,AnsR,1,That's the director that the actor is particularly appreciated by because of his dramatic emotional bearing.,Who appreciates someone?,the actor,the director,1
Objexp-PassS-ActQ-AnsR.1,Objexp,PassS,ActQ,AnsR,1,That's the director that the actor is particularly bothered by because of his dramatic emotional bearing.,Who bothers someone?,the actor,the director,1
